id, name, base, counter, api, priceBTC, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, BTC, coinmarketcap, 1, 1999309.0312311507, 0, 0, 0, 2019-06-21T06:59:30, 1561100370000, 1h
null, Ethereum, ETH, BTC, coinmarketcap, 0.02878121710548331, 777491.069383693, -0.368, -0.7142, -7.4574, 2019-06-21T06:59:17, 1561100357000, 1h
null, XRP, XRP, BTC, coinmarketcap, 0.000044931432543995956, 151521.35620046564, -0.0728, -3.7527, -7.3519, 2019-06-21T06:59:02, 1561100342000, 1h
null, Litecoin, LTC, BTC, coinmarketcap, 0.014178702310290869, 422467.11263572145, 0.537, -2.9584, -10.4369, 2019-06-21T06:59:03, 1561100343000, 1h
null, Bitcoin Cash, BCH, BTC, coinmarketcap, 0.04354914975471442, 153280.99660081463, -0.1486, -2.5816, -12.6282, 2019-06-21T06:59:08, 1561100348000, 1h
null, EOS, EOS, BTC, coinmarketcap, 0.000719567795757168, 222658.6025721287, -0.1168, -2.4676, -8.0227, 2019-06-21T06:59:07, 1561100347000, 1h
null, Binance Coin, BNB, BTC, coinmarketcap, 0.0037429187076695202, 63237.635308996476, -0.7697, -0.0413, -10.2195, 2019-06-21T06:59:06, 1561100346000, 1h
null, Bitcoin SV, BSV, BTC, coinmarketcap, 0.022756690780981498, 47479.117637546864, -0.1778, -5.7023, -9.738, 2019-06-21T06:59:10, 1561100350000, 1h
null, Stellar, XLM, BTC, coinmarketcap, 0.000012689311305673336, 30287.721791065516, 0.4017, -4.6792, -15.9319, 2019-06-21T06:59:02, 1561100342000, 1h
null, Cardano, ADA, BTC, coinmarketcap, 0.000009133967193077244, 17115.869478357214, -0.184, -4.2029, -16.2842, 2019-06-21T06:59:06, 1561100346000, 1h
null, TRON, TRX, BTC, coinmarketcap, 0.000003402239842407368, 63190.74481180074, -0.1333, -5.3453, -13.6626, 2019-06-21T06:59:06, 1561100346000, 1h
null, Monero, XMR, BTC, coinmarketcap, 0.010977186144405604, 18520.44279728044, -0.8374, 1.225, 1.1177, 2019-06-21T06:59:02, 1561100342000, 1h
null, Dash, DASH, BTC, coinmarketcap, 0.01677163606164223, 26652.68490895834, -0.0358, -3.6683, -10.2557, 2019-06-21T06:59:03, 1561100343000, 1h
null, Cosmos, ATOM, BTC, coinmarketcap, 0.0006576556790923315, 7194.015526367658, -0.6406, -7.227, -13.091, 2019-06-21T06:59:11, 1561100351000, 1h
null, IOTA, MIOTA, BTC, coinmarketcap, 0.00004401378871047685, 3914.7596589535697, -0.0165, -5.9454, -17.2013, 2019-06-21T06:59:05, 1561100345000, 1h
null, NEO, NEO, BTC, coinmarketcap, 0.001411542214187996, 41940.1999240959, -0.3214, -3.8102, -10.8618, 2019-06-21T06:59:04, 1561100344000, 1h
null, Ethereum Classic, ETC, BTC, coinmarketcap, 0.0008813207469325225, 67557.13743478361, -0.1888, -3.5244, -13.9571, 2019-06-21T06:59:04, 1561100344000, 1h
null, NEM, XEM, BTC, coinmarketcap, 0.00000893657202517218, 3851.288876178738, -0.2401, -4.671, -14.1022, 2019-06-21T06:59:02, 1561100342000, 1h
null, Tezos, XTZ, BTC, coinmarketcap, 0.0001196966812950264, 962.8186043281532, 0.2486, -6.3329, -22.0099, 2019-06-21T06:59:06, 1561100346000, 1h
null, Zcash, ZEC, BTC, coinmarketcap, 0.011391038902903853, 39180.84432707196, -0.195, -2.3006, 5.4148, 2019-06-21T06:59:05, 1561100345000, 1h
