id, name, base, counter, api, priceETH, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, ETH, coinmarketcap, 34.970249953931734, 81880110.79523759, 0.3268, 2.9243, 6.7346, 2019-06-22T11:59:28, 1561204768000, 1h
null, Ethereum, ETH, ETH, coinmarketcap, 1, 32382080.843227398, 0, 0, 0, 2019-06-22T11:59:19, 1561204759000, 1h
null, XRP, XRP, ETH, coinmarketcap, 0.0014829252191016294, 6675738.271200704, -0.1614, -3.1415, -3.5201, 2019-06-22T11:59:05, 1561204745000, 1h
null, Litecoin, LTC, ETH, coinmarketcap, 0.4577812494022014, 15912064.449103119, -0.3205, -4.4429, -10.5383, 2019-06-22T11:59:03, 1561204743000, 1h
null, Bitcoin Cash, BCH, ETH, coinmarketcap, 1.452770920435449, 6875851.747600046, 0.133, -2.1675, -8.2566, 2019-06-22T11:59:05, 1561204745000, 1h
null, EOS, EOS, ETH, coinmarketcap, 0.023620128153822403, 9538775.03427341, -0.0523, -3.4777, -6.6115, 2019-06-22T11:59:04, 1561204744000, 1h
null, Binance Coin, BNB, ETH, coinmarketcap, 0.12671160212495883, 1536297.8049508343, -0.8168, -3.1181, 1.0516, 2019-06-22T11:59:04, 1561204744000, 1h
null, Bitcoin SV, BSV, ETH, coinmarketcap, 0.7317110853983229, 1579491.2447997937, -0.1687, -5.6263, -8.9287, 2019-06-22T11:59:09, 1561204749000, 1h
null, Stellar, XLM, ETH, coinmarketcap, 0.0004079061503169815, 873967.1610831935, -1.4365, -5.6864, -14.2991, 2019-06-22T11:59:03, 1561204743000, 1h
null, Cardano, ADA, ETH, coinmarketcap, 0.0002969152816462427, 464946.44635913346, -0.0932, -4.9039, -13.9573, 2019-06-22T11:59:03, 1561204743000, 1h
null, TRON, TRX, ETH, coinmarketcap, 0.00011265323987815855, 2199869.6711908937, -0.2894, -3.1033, -8.4588, 2019-06-22T11:59:05, 1561204745000, 1h
null, Monero, XMR, ETH, coinmarketcap, 0.3693127561007142, 468471.45954002306, -0.1838, -2.1839, 5.0324, 2019-06-22T11:59:01, 1561204741000, 1h
null, Dash, DASH, ETH, coinmarketcap, 0.5702276549157097, 1368857.5603362955, -1.0499, -0.5725, -2.0796, 2019-06-22T11:59:02, 1561204742000, 1h
null, Cosmos, ATOM, ETH, coinmarketcap, 0.02189447737352674, 224688.0749247525, -0.0546, -4.236, -7.0927, 2019-06-22T11:59:09, 1561204749000, 1h
null, IOTA, MIOTA, ETH, coinmarketcap, 0.0014424006388890247, 96395.06585533638, -0.039, -4.0929, -12.1202, 2019-06-22T11:59:02, 1561204742000, 1h
null, NEO, NEO, ETH, coinmarketcap, 0.04746207174358423, 1567165.9811265278, 0.0287, -1.2535, -9.6196, 2019-06-22T11:59:03, 1561204743000, 1h
null, Ethereum Classic, ETC, ETH, coinmarketcap, 0.028991688593781286, 3193951.3222956094, -0.0046, -3.5006, -10.379, 2019-06-22T11:59:03, 1561204743000, 1h
null, NEM, XEM, ETH, coinmarketcap, 0.0002902319367644151, 101314.52478230486, -0.3549, -4.0671, -10.1283, 2019-06-22T11:59:02, 1561204742000, 1h
null, Zcash, ZEC, ETH, coinmarketcap, 0.36736219519349755, 1940357.8135175037, -0.2241, -6.5479, 5.583, 2019-06-22T11:59:02, 1561204742000, 1h
null, Tezos, XTZ, ETH, coinmarketcap, 0.0037269179311749125, 24209.901487116073, -1.7748, -11.6648, -19.8598, 2019-06-22T11:59:03, 1561204743000, 1h
null, Ontology, ONT, ETH, coinmarketcap, 0.004769650234836506, 537926.8868371013, -0.8356, -4.7083, -12.4188, 2019-06-22T11:59:05, 1561204745000, 1h
null, Bitcoin Gold, BTG, ETH, coinmarketcap, 0.09702376888103989, 71777.3725637812, 0.5555, -2.1775, -5.2538, 2019-06-22T11:59:03, 1561204743000, 1h
null, Dogecoin, DOGE, ETH, coinmarketcap, 0.000010497520272735893, 165249.4122497043, -1.1534, -5.1708, -11.1191, 2019-06-22T11:59:03, 1561204743000, 1h
null, VeChain, VET, ETH, coinmarketcap, 0.000021536855375846548, 127623.13093907047, -1.7461, -11.5591, -23.116, 2019-06-22T11:59:08, 1561204748000, 1h
null, Qtum, QTUM, ETH, coinmarketcap, 0.011772944117077501, 825237.9449616345, -1.1637, -5.0055, -11.3935, 2019-06-22T11:59:03, 1561204743000, 1h
null, Decred, DCR, ETH, coinmarketcap, 0.0971689795697312, 29689.63860256611, 0.0589, -6.4114, -4.7172, 2019-06-22T11:59:01, 1561204741000, 1h
null, Lisk, LSK, ETH, coinmarketcap, 0.0069159590277694345, 37392.725490927514, -1.528, -5.6074, -10.2524, 2019-06-22T11:59:01, 1561204741000, 1h
null, Bitcoin Diamond, BCD, ETH, coinmarketcap, 0.0042500634236517865, 20547.646687350247, -0.4461, -6.6206, -8.1861, 2019-06-22T11:59:03, 1561204743000, 1h
null, Waves, WAVES, ETH, coinmarketcap, 0.007686634334327131, 72578.5680047439, -0.2792, -8.5129, -14.495, 2019-06-22T11:59:02, 1561204742000, 1h
null, Ravencoin, RVN, ETH, coinmarketcap, 0.00019665022759653218, 72870.21808211503, -0.5969, -8.9678, -17.0873, 2019-06-22T11:59:04, 1561204744000, 1h
null, Nano, NANO, ETH, coinmarketcap, 0.004738256933282763, 23813.95368000861, 0.8786, -8.7044, -21.8838, 2019-06-22T11:59:02, 1561204742000, 1h
null, Bytecoin, BCN, ETH, coinmarketcap, 0.000003395726458770533, 446.7480592037213, 0.6223, -2.6351, -6.2105, 2019-06-22T11:59:01, 1561204741000, 1h
null, Bytom, BTM, ETH, coinmarketcap, 0.0005963618192226642, 100846.59661219399, -0.4564, -6.6743, -5.9473, 2019-06-22T11:59:02, 1561204742000, 1h
null, MonaCoin, MONA, ETH, coinmarketcap, 0.008872152186202657, 264899.70426759555, -0.0639, -2.1413, 17.7642, 2019-06-22T11:59:01, 1561204741000, 1h
