id, name, base, counter, api, priceUSD, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Bitcoin, BTC, USD, coinmarketcap, 9725.64245253, 19607667874.4039, -0.110283, 4.64212, 17.9663, 2019-06-21T08:59:28, 1561107568000, 1h
null, Ethereum, ETH, USD, coinmarketcap, 285.2786142, 7880234392.05773, 1.81341, 5.97937, 11.4585, 2019-06-21T08:59:20, 1561107560000, 1h
null, XRP, XRP, USD, coinmarketcap, 0.438861311554, 1481613017.69672, 0.504904, 1.29837, 9.95913, 2019-06-21T08:59:02, 1561107542000, 1h
null, Litecoin, LTC, USD, coinmarketcap, 137.40838544, 4112794164.84904, 0.139742, 1.02699, 5.29799, 2019-06-21T08:59:04, 1561107544000, 1h
null, Bitcoin Cash, BCH, USD, coinmarketcap, 425.159435378, 1531435790.10384, 0.583569, 2.48469, 3.68314, 2019-06-21T08:59:04, 1561107544000, 1h
null, EOS, EOS, USD, coinmarketcap, 7.02145282554, 2185338195.53701, 0.503185, 2.45966, 9.10216, 2019-06-21T08:59:05, 1561107545000, 1h
null, Binance Coin, BNB, USD, coinmarketcap, 36.6893952652, 601838316.732971, 0.771142, 5.86343, 7.87907, 2019-06-21T08:59:04, 1561107544000, 1h
null, Bitcoin SV, BSV, USD, coinmarketcap, 220.785103581, 480930619.403741, 0.118864, -1.71342, 6.48477, 2019-06-21T08:59:10, 1561107550000, 1h
null, Stellar, XLM, USD, coinmarketcap, 0.123447195603, 292938269.021792, 0.228092, 0.125561, -0.513336, 2019-06-21T08:59:02, 1561107542000, 1h
null, Cardano, ADA, USD, coinmarketcap, 0.0902267971303, 163596190.178081, 1.4349, 1.67052, 0.300414, 2019-06-21T08:59:04, 1561107544000, 1h
null, TRON, TRX, USD, coinmarketcap, 0.033515432742, 612787957.103289, 1.38139, 0.336415, 3.59397, 2019-06-21T08:59:05, 1561107545000, 1h
null, Monero, XMR, USD, coinmarketcap, 108.460010429, 177758871.974864, 0.923567, 6.70639, 21.2248, 2019-06-21T08:59:01, 1561107541000, 1h
null, Dash, DASH, USD, coinmarketcap, 162.689350305, 255078906.535032, 0.116537, 1.09052, 5.83082, 2019-06-21T08:59:03, 1561107543000, 1h
null, Cosmos, ATOM, USD, coinmarketcap, 6.42765511254, 70124599.7609785, 0.733367, -1.57758, 3.34877, 2019-06-21T08:59:10, 1561107550000, 1h
null, IOTA, MIOTA, USD, coinmarketcap, 0.429874247893, 37308655.1335934, 0.63818, -0.795311, -1.5682, 2019-06-21T08:59:03, 1561107543000, 1h
null, NEO, NEO, USD, coinmarketcap, 13.7787206457, 409425772.130378, 0.212155, 1.54748, 5.8126, 2019-06-21T08:59:02, 1561107542000, 1h
null, Ethereum Classic, ETC, USD, coinmarketcap, 8.57174434379, 667805262.475792, -0.59189, 1.19864, 1.96594, 2019-06-21T08:59:02, 1561107542000, 1h
null, Tezos, XTZ, USD, coinmarketcap, 1.18690492671, 9505694.00837973, 1.50437, 0.335201, -5.63426, 2019-06-21T08:59:03, 1561107543000, 1h
null, NEM, XEM, USD, coinmarketcap, 0.0867128953241, 38041779.7469717, -0.248214, -0.319126, 1.22496, 2019-06-21T08:59:01, 1561107541000, 1h
null, Zcash, ZEC, USD, coinmarketcap, 111.7912659, 398068485.551787, 0.462324, 3.20824, 24.7308, 2019-06-21T08:59:03, 1561107543000, 1h
null, Ontology, ONT, USD, coinmarketcap, 1.42130816086, 192030846.159676, 1.79446, -1.81851, -0.406735, 2019-06-21T08:59:06, 1561107546000, 1h
null, Bitcoin Gold, BTG, USD, coinmarketcap, 28.597182682, 20295815.8617443, -0.366856, 3.22379, 7.63648, 2019-06-21T08:59:04, 1561107544000, 1h
null, VeChain, VET, USD, coinmarketcap, 0.00693338191406, 30446962.3249475, 0.745335, -4.00303, -8.55329, 2019-06-21T08:59:08, 1561107548000, 1h
null, Dogecoin, DOGE, USD, coinmarketcap, 0.00316918768608, 38373181.8176882, 0.316279, 0.375446, 3.24483, 2019-06-21T08:59:05, 1561107545000, 1h
null, Qtum, QTUM, USD, coinmarketcap, 3.54670737978, 190534233.922524, 0.604172, 0.232567, 3.59403, 2019-06-21T08:59:03, 1561107543000, 1h
null, Decred, DCR, USD, coinmarketcap, 29.5785804143, 5379236.40432216, -0.582917, 6.1074, 6.4009, 2019-06-21T08:59:01, 1561107541000, 1h
null, Lisk, LSK, USD, coinmarketcap, 2.05649236709, 10162621.9489307, 0.75688, -1.02009, 0.384879, 2019-06-21T08:59:02, 1561107542000, 1h
null, Bitcoin Diamond, BCD, USD, coinmarketcap, 1.29899803979, 4487606.65667937, -0.269665, 1.9224, 5.96584, 2019-06-21T08:59:04, 1561107544000, 1h
null, Waves, WAVES, USD, coinmarketcap, 2.39276078708, 16438428.7170145, 0.197246, -1.35994, -3.51868, 2019-06-21T08:59:02, 1561107542000, 1h
null, Ravencoin, RVN, USD, coinmarketcap, 0.0615743350087, 18595125.4475715, 0.284123, -1.35781, -3.53232, 2019-06-21T08:59:06, 1561107546000, 1h
null, Nano, NANO, USD, coinmarketcap, 1.48521054503, 5975707.4227283, 0.0517978, -2.60607, -13.2122, 2019-06-21T08:59:02, 1561107542000, 1h
null, Bytecoin, BCN, USD, coinmarketcap, 0.00101592189893, 45917.3892482716, 1.46661, -0.568113, 9.99425, 2019-06-21T08:59:01, 1561107541000, 1h
null, Bytom, BTM, USD, coinmarketcap, 0.17974827444, 85818069.3259721, -0.71619, -4.30395, 6.03914, 2019-06-21T08:59:03, 1561107543000, 1h
null, BitShares, BTS, USD, coinmarketcap, 0.0636472687313, 6561463.33584745, 0.795214, 1.18883, 2.22987, 2019-06-21T08:59:01, 1561107541000, 1h
null, DigiByte, DGB, USD, coinmarketcap, 0.0140608067538, 1762846.51871473, -0.468392, -5.94777, 14.7723, 2019-06-21T08:59:01, 1561107541000, 1h
null, MonaCoin, MONA, USD, coinmarketcap, 2.46209595821, 18789931.1754515, -1.25639, 3.90995, 22.3855, 2019-06-21T08:59:01, 1561107541000, 1h
null, Komodo, KMD, USD, coinmarketcap, 1.40384499701, 3299459.17644742, -0.234766, -5.51202, -16.6264, 2019-06-21T08:59:02, 1561107542000, 1h
null, ICON, ICX, USD, coinmarketcap, 0.338627833988, 10218887.7233429, -0.767347, -6.66206, -11.3838, 2019-06-21T08:59:04, 1561107544000, 1h
null, Metaverse ETP, ETP, USD, coinmarketcap, 2.01363249501, 151080370.562848, -1.15112, -1.99208, 9.78758, 2019-06-21T08:59:02, 1561107542000, 1h
null, Aeternity, AE, USD, coinmarketcap, 0.522776576994, 37575222.1928178, 0.689146, 0.375364, -0.741767, 2019-06-21T08:59:02, 1561107542000, 1h
null, Verge, XVG, USD, coinmarketcap, 0.00895939414733, 2608694.75029352, 0.0991047, -1.85327, -1.42171, 2019-06-21T08:59:01, 1561107541000, 1h
null, HyperCash, HC, USD, coinmarketcap, 3.21051366885, 10943742.7091369, -0.150352, -1.73102, 27.9155, 2019-06-21T08:59:03, 1561107543000, 1h
null, GXChain, GXC, USD, coinmarketcap, 2.30262208555, 14597045.5899355, -0.00387408, -2.92374, 3.48963, 2019-06-21T08:59:02, 1561107542000, 1h
null, Steem, STEEM, USD, coinmarketcap, 0.4010314819, 1810287.96657344, -0.0796807, -3.76078, -3.99568, 2019-06-21T08:59:01, 1561107541000, 1h
null, Siacoin, SC, USD, coinmarketcap, 0.00305860793949, 2783053.88204154, 0.0560453, -1.07621, -5.27596, 2019-06-21T08:59:01, 1561107541000, 1h
null, Ardor, ARDR, USD, coinmarketcap, 0.119063403377, 3840951.31448517, -0.025359, -6.15441, 15.0796, 2019-06-21T08:59:01, 1561107541000, 1h
null, THETA, THETA, USD, coinmarketcap, 0.126463710345, 3697076.20487787, 0.951463, -6.7521, -5.42057, 2019-06-21T08:59:05, 1561107545000, 1h
null, Zcoin, XZC, USD, coinmarketcap, 12.8171389345, 5891594.35748901, 0.476743, -10.445, 10.7992, 2019-06-21T08:59:02, 1561107542000, 1h
null, Stratis, STRAT, USD, coinmarketcap, 0.921700666356, 2853973.09029845, -0.290164, -6.55023, -0.49103, 2019-06-21T08:59:02, 1561107542000, 1h
null, ABBC Coin, ABBC, USD, coinmarketcap, 0.167861880756, 41100469.518205, -1.38783, -4.45335, -10.542, 2019-06-21T08:59:09, 1561107549000, 1h
null, TrueChain, TRUE, USD, coinmarketcap, 0.981678388345, 62436027.317218, 0.244206, 0.103643, -4.91402, 2019-06-21T08:59:05, 1561107545000, 1h
null, Energi, NRG, USD, coinmarketcap, 4.22007507572, 346090.674456142, 0.390394, 0.60625, 7.23102, 2019-06-21T08:59:09, 1561107549000, 1h
null, Horizen, ZEN, USD, coinmarketcap, 10.7440927023, 957088.17777592, 0.279335, -3.7054, 2.48965, 2019-06-21T08:59:02, 1561107542000, 1h
null, Grin, GRIN, USD, coinmarketcap, 5.30260595567, 38636720.2480904, 1.59332, -6.78073, 43.7044, 2019-06-21T08:59:10, 1561107550000, 1h
null, Nebulas, NAS, USD, coinmarketcap, 1.46326963254, 6075035.28549645, -1.29201, -3.74022, -8.52245, 2019-06-21T08:59:03, 1561107543000, 1h
null, NULS, NULS, USD, coinmarketcap, 0.992474583315, 13469234.2313879, -0.120671, -4.46223, 6.46691, 2019-06-21T08:59:03, 1561107543000, 1h
null, Project Pai, PAI, USD, coinmarketcap, 0.0458897596227, 1848097.12353124, -0.174198, -5.41664, -9.23531, 2019-06-21T08:59:07, 1561107547000, 1h
null, ReddCoin, RDD, USD, coinmarketcap, 0.00230238163573, 407396.676452483, 4.34025, 5.37888, 31.0947, 2019-06-21T08:59, 1561107540000, 1h
null, Ark, ARK, USD, coinmarketcap, 0.532811048212, 1218206.34578844, 3.17884, -4.23102, -8.56633, 2019-06-21T08:59:03, 1561107543000, 1h
null, Elastos, ELA, USD, coinmarketcap, 3.69393706474, 5077890.69797343, -0.798206, -2.18309, -0.048088, 2019-06-21T08:59:05, 1561107545000, 1h
null, Factom, FCT, USD, coinmarketcap, 5.83494646315, 2639366.59062606, 1.0947, -6.32587, -2.60317, 2019-06-21T08:59:01, 1561107541000, 1h
null, Thunder Token, TT, USD, coinmarketcap, 0.0191035401375, 9259982.96026289, -0.313374, -4.43107, -7.15382, 2019-06-21T08:59:10, 1561107550000, 1h
null, WaykiChain, WICC, USD, coinmarketcap, 0.286716606073, 2705026.31772188, 1.79954, -2.01175, 7.06205, 2019-06-21T08:59:04, 1561107544000, 1h
null, Electroneum, ETN, USD, coinmarketcap, 0.00559450721462, 269678.704680804, -0.799227, -5.07792, 14.4367, 2019-06-21T08:59:04, 1561107544000, 1h
null, Aion, AION, USD, coinmarketcap, 0.15673112561, 2655131.48682599, 1.46645, -2.40853, -14.7439, 2019-06-21T08:59:03, 1561107543000, 1h
null, Theta Fuel, TFUEL, USD, coinmarketcap, 0.0121284122049, 8912654.98427503, -0.564988, -4.97954, -7.30209, 2019-06-21T08:59:10, 1561107550000, 1h
null, Ether Zero, ETZ, USD, coinmarketcap, 0.275091641269, 2573770.97824924, -0.658935, -3.56284, -3.17052, 2019-06-21T08:59:07, 1561107547000, 1h
null, MOAC, MOAC, USD, coinmarketcap, 0.688549796554, 42685.3120001063, -1.08513, -0.748143, -11.3108, 2019-06-21T08:59:05, 1561107545000, 1h
null, Newton, NEW, USD, coinmarketcap, 0.00352448721909, 12394638.6994304, 0.937646, -2.11221, -0.92569, 2019-06-21T08:59:10, 1561107550000, 1h
null, Wanchain, WAN, USD, coinmarketcap, 0.395734496039, 2754189.49913167, 0.116305, -8.81048, -19.2368, 2019-06-21T08:59:06, 1561107546000, 1h
null, PIVX, PIVX, USD, coinmarketcap, 0.741767198929, 792148.988014976, -0.0252289, -3.06729, 0.256126, 2019-06-21T08:59:02, 1561107542000, 1h
null, IPChain, IPC, USD, coinmarketcap, 0.53275658144, 2708571.18027094, -0.00143789, -5.45658, 6.98279, 2019-06-21T08:59:05, 1561107545000, 1h
null, Metadium, META, USD, coinmarketcap, 0.0327895924202, 5966919.93803721, -0.983839, -2.596, 1.20651, 2019-06-21T08:59:09, 1561107549000, 1h
null, TomoChain, TOMO, USD, coinmarketcap, 0.644258447302, 2176544.0036126, 1.44176, -2.37687, 24.1991, 2019-06-21T08:59:06, 1561107546000, 1h
null, Nxt, NXT, USD, coinmarketcap, 0.0373471862258, 1639127.15513226, -0.72456, -5.49011, 1.72445, 2019-06-21T08:59:01, 1561107541000, 1h
null, CyberMiles, CMT, USD, coinmarketcap, 0.0436463776098, 9460074.09696157, -0.430784, -4.61133, -5.05937, 2019-06-21T08:59:04, 1561107544000, 1h
null, Beam, BEAM, USD, coinmarketcap, 1.37694908622, 25519506.6705302, -3.27326, -11.4912, 108.655, 2019-06-21T08:59:10, 1561107550000, 1h
null, Groestlcoin, GRS, USD, coinmarketcap, 0.419229313075, 1744362.02195862, -1.3978, -3.6459, -4.48771, 2019-06-21T08:59:01, 1561107541000, 1h
